Run,BlockNum,TrialNum,BlockSplit,Condition,FaceNum,FaceGender,FaceExpression,FaceFileName,FaceRace,ContextCategory,ContextSubCategory,ContextFileName
2,3,9,3,Positive,12,Female,NeutFear,12F_NeutFear_cropped.png,African,Positive,Foods,7270.jpg
2,3,10,3,Positive,40,Male,NeutHappy,40M_NeutHappy_cropped.png,African,Positive,Foods,7230.jpg
2,3,11,3,Positive,18,Female,NeutFear,18F_NeutFear_cropped.png,Asian,Positive,Kids,2314.jpg
2,3,12,3,Positive,39,Male,NeutFear,39M_NeutFear_cropped.png,African,Positive,Scenic,5829.jpg
2,4,13,3,Negative,5,Female,NeutFear,05F_NeutFear_cropped.png,European,Negative,Others,7359.jpg
2,4,14,3,Negative,29,Male,NeutHappy,29M_NeutHappy_cropped.png,European,Negative,Others,2490.jpg
2,4,15,3,Negative,20,Male,NeutFear,20M_NeutFear_cropped.png,European,Negative,War,6825.jpg
2,4,16,3,Negative,33,Male,NeutFear,33M_NeutFear_cropped.png,European,Negative,Animals,9184.jpg
2,5,17,1,Positive,37,Male,NeutFear,37M_NeutFear_cropped.png,Latino,Positive,Kids,2091.jpg
2,5,18,1,Positive,34,Male,NeutHappy,34M_NeutHappy_cropped.png,European,Positive,Babies,2050.jpg
2,5,19,1,Positive,23,Male,NeutHappy,23M_NeutHappy_cropped.png,European,Positive,Animals,1460.jpg
2,5,20,1,Positive,36,Male,NeutHappy,36M_NeutHappy_cropped.png,European,Positive,Babies,2260.jpg
2,6,21,2,Negative,5,Female,NeutHappy,05F_NeutHappy_cropped.png,European,Negative,Others,9120.jpg
2,6,22,2,Negative,21,Male,NeutHappy,21M_NeutHappy_cropped.png,European,Negative,War,9452.jpg
2,6,23,2,Negative,43,Male,NeutFear,43M_NeutFear_cropped.png,African,Negative,SadPeople,2456.jpg
2,6,24,2,Negative,7,Female,NeutFear,07F_NeutFear_cropped.png,European,Negative,Others,9331.jpg
2,7,25,2,Positive,26,Male,NeutHappy,26M_NeutHappy_cropped.png,European,Positive,Babies,2080.jpg
2,7,26,2,Positive,19,Female,NeutHappy,19F_NeutHappy_cropped.png,Asian,Positive,Kids,2347.jpg
2,7,27,2,Positive,42,Male,NeutFear,42M_NeutFear_cropped.png,African,Positive,Others,2530.jpg
2,7,28,2,Positive,8,Female,NeutFear,08F_NeutFear_cropped.png,European,Positive,Babies,2150.jpg
2,8,29,3,Negative,11,Female,NeutFear,11F_NeutFear_cropped.png,African,Negative,Death,9220.jpg
2,8,30,3,Negative,17,Female,NeutFear,17F_NeutFear_cropped.png,Asian,Negative,Others,9599.jpg
2,8,31,3,Negative,1,Female,NeutHappy,01F_NeutHappy_cropped.png,European,Negative,Trash,9330.jpg
2,8,32,3,Negative,29,Male,NeutFear,29M_NeutFear_cropped.png,European,Negative,SadPeople,2301.jpg
2,9,33,2,Positive,10,Female,NeutFear,10F_NeutFear_cropped.png,European,Positive,Scenic,5210.jpg
2,9,34,2,Positive,32,Male,NeutFear,32M_NeutFear_cropped.png,European,Positive,Animals,1440.jpg
2,9,35,2,Positive,20,Male,NeutHappy,20M_NeutHappy_cropped.png,European,Positive,Scenic,5825.jpg
2,9,36,2,Positive,15,Female,NeutHappy,15F_NeutHappy_cropped.png,Asian,Positive,Others,4626.jpg
2,10,37,2,Negative,18,Female,NeutHappy,18F_NeutHappy_cropped.png,Asian,Negative,Others,9590.jpg
2,10,38,2,Negative,16,Female,NeutFear,16F_NeutFear_cropped.png,Asian,Negative,Death,2205.jpg
2,10,39,2,Negative,40,Male,NeutFear,40M_NeutFear_cropped.png,African,Negative,SadPeople,6311.jpg
2,10,40,2,Negative,35,Male,NeutHappy,35M_NeutHappy_cropped.png,European,Negative,Trash,9295.jpg
