Number,Race
1,European
2,European
5,European
6,European
7,European
8,European
9,European
10,European
20,European
21,European
22,European
23,European
24,European
25,European
26,European
27,European
28,European
29,European
30,European
31,European
32,European
33,European
34,European
35,European
36,European
3,Latino
37,Latino
11,African
12,African
13,African
14,African
38,African
39,African
40,African
41,African
42,African
43,African
15,Asian
16,Asian
17,Asian
18,Asian
19,Asian
45,Asian
