Run,BlockNum,TrialNum,BlockSplit,Condition,FaceNum,FaceGender,FaceExpression,FaceFileName,FaceRace,ContextCategory,ContextSubCategory,ContextFileName
1,1,1,3,Positive,30,Male,NeutFear,30M_NeutFear_cropped.png,European,Pleasant,Babies,2040.jpg
1,1,2,3,Positive,38,Male,NeutHappy,38M_NeutHappy_cropped.png,African,Pleasant,Scenic,5830.jpg
1,2,7,3,Negative,14,Female,NeutFear,14F_NeutFear_cropped.png,African,Unpleasant,Animals,9145.jpg
1,2,8,3,Negative,31,Male,NeutFear,31M_NeutFear_cropped.png,European,Unpleasant,Animals,9561.jpg
2,1,1,1,Positive,24,Male,NeutFear,24M_NeutFear_cropped.png,European,Pleasant,Animals,1441.jpg
2,1,2,1,Positive,6,Female,NeutHappy,06F_NeutHappy_cropped.png,European,Pleasant,Kids,2332.jpg
2,10,38,2,Negative,16,Female,NeutFear,16F_NeutFear_cropped.png,Asian,Unpleasant,Death,2205.jpg
2,10,39,2,Negative,40,Male,NeutFear,40M_NeutFear_cropped.png,African,Unpleasant,SadPeople,6311.jpg
